rank,priority_tier,lead_score,conversion_probability,address,city,zip_code,lat,lon,hail_size,roof_age,property_value,square_footage,social_trigger,social_pressure_score,nearby_permits_6mo,agent4_recommendation,agent5_recommendation,trigger_description,sii_score,risk_score,primary_persona,property_id,storm_id
22,A,100.0,0.0918,5107 Main St,Dallas,75226.0,32.64182503208066,-96.84567560097955,2.5,47,411487,4368,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,74.32555552451029,58.583464223316106,Status_Conscious,prop_04107,STORM_DFW_20260115
23,A,100.0,0.11340000000000001,1035 Main St,Dallas,75211.0,32.869219204434934,-96.85226805462514,2.2,47,451631,2700,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,115.02433657617628,87.24476044162073,Deal_Hunter,prop_00035,STORM_DFW_20260128
24,A,100.0,0.0918,1039 Main St,Dallas,75218.0,32.75874574812188,-96.8475943343791,2.5,37,408806,2008,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,81.2347645326008,55.125083047746685,Deal_Hunter,prop_00039,STORM_DFW_20260115
25,A,100.0,0.11340000000000001,1047 Main St,Dallas,75202.0,32.78272040635334,-96.91086579800103,2.2,54,479567,3641,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,107.75745861493178,81.71343325950006,Family_Protector,prop_00047,STORM_DFW_20260128
26,A,100.0,0.08910000000000001,1048 Main St,Dallas,75241.0,32.790713083802984,-96.77163706602217,2.5,59,352124,2761,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,93.04328578350663,86.90805951092507,Deal_Hunter,prop_00048,STORM_DFW_20260115
27,A,100.0,0.09585,5116 Main St,Dallas,75211.0,32.9018804199733,-96.68691768715084,2.5,32,505269,3814,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,86.59042845019364,55.6151111540494,Family_Protector,prop_04116,STORM_DFW_20260115
28,A,100.0,0.11340000000000001,4986 Main St,Dallas,75227.0,32.6553082763819,-96.87470112260122,2.2,45,432524,2105,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,81.85423162238848,71.92196869797131,Proof_Seeker,prop_03986,STORM_DFW_20260128
29,A,100.0,0.08910000000000001,4987 Main St,Dallas,75228.0,32.76171759182787,-96.66616232853795,2.5,46,312878,1463,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,91.74148493084286,81.15253722575942,Status_Conscious,prop_03987,STORM_DFW_20260115
30,A,100.0,0.08910000000000001,5011 Main St,Dallas,75249.0,32.74427316888317,-96.71877220748391,2.5,39,380422,2842,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,112.92239856410237,86.24508233417465,Proof_Seeker,prop_04011,STORM_DFW_20260115
31,A,100.0,0.11340000000000001,5019 Main St,Dallas,75220.0,32.69569812618897,-96.72697944519953,2.2,28,462643,3947,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,87.32181400156064,55.028799774845936,Family_Protector,prop_04019,STORM_DFW_20260128
32,A,100.0,0.11340000000000001,5040 Main St,Dallas,75217.0,32.88653046361335,-96.73394802002295,2.2,44,462000,1898,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,86.2769655939486,54.8249018112208,Proof_Seeker,prop_04040,STORM_DFW_20260128
33,A,100.0,0.0918,5044 Main St,Dallas,75228.0,32.750057142760845,-96.84711492591128,2.5,53,404864,4183,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,78.86723363507656,76.33035088519503,Status_Conscious,prop_04044,STORM_DFW_20260115
34,A,100.0,0.09585,5050 Main St,Dallas,75226.0,32.90702991162603,-96.67056267913503,2.5,25,584593,1561,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,114.33707792555762,92.8356274051606,Status_Conscious,prop_04050,STORM_DFW_20260115
35,A,100.0,0.11340000000000001,5061 Main St,Dallas,75224.0,32.689795566885735,-96.89196263457234,2.2,50,478706,3750,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,79.02619949655585,69.60952113489567,Status_Conscious,prop_04061,STORM_DFW_20260128
36,A,100.0,0.11340000000000001,1050 Main St,Dallas,75218.0,32.91757538832937,-96.83364823588184,2.2,25,431303,1842,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,119.82617754785804,89.45241594225106,Proof_Seeker,prop_00050,STORM_DFW_20260128
37,A,100.0,0.08910000000000001,1060 Main St,Dallas,75218.0,32.74330318690684,-96.91245614648143,2.5,54,365678,4626,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,106.68186552805857,78.98582703630026,Proof_Seeker,prop_00060,STORM_DFW_20260115
38,A,100.0,0.11745,4935 Main St,Dallas,75237.0,32.790637562518434,-96.92793928327282,2.2,36,321368,1930,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,98.77957547097256,82.77592688668366,Proof_Seeker,prop_03935,STORM_DFW_20260128
39,A,100.0,0.08330000000000001,4936 Main St,Dallas,75253.0,32.75185802556937,-96.82812579595507,2.5,60,479195,1451,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,111.15036563942212,73.02754384463002,Proof_Seeker,prop_03936,STORM_DFW_20260115
40,A,100.0,0.11745,4938 Main St,Dallas,75202.0,32.677980920726256,-96.78530573766496,2.2,36,531517,3021,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,120.23878132403588,76.65879270222428,Family_Protector,prop_03938,STORM_DFW_20260128
41,A,100.0,0.1218,4941 Main St,Dallas,75241.0,32.896089394054336,-96.73594149794553,2.2,57,408019,2881,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,97.66065441359514,74.62935689260256,Status_Conscious,prop_03941,STORM_DFW_20260128
42,A,100.0,0.0918,4945 Main St,Dallas,75229.0,32.63167774418978,-96.94033915610365,2.5,40,461602,3684,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,76.7160579603873,67.36832696181179,Status_Conscious,prop_03945,STORM_DFW_20260115
43,A,100.0,0.11340000000000001,4950 Main St,Dallas,75202.0,32.633812326093356,-96.78673387702062,2.2,71,405436,1481,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,102.87893253798268,81.26824496887642,Deal_Hunter,prop_03950,STORM_DFW_20260128
44,A,100.0,0.0918,4951 Main St,Dallas,75241.0,32.87718416170832,-96.69985947502384,2.5,71,443362,2670,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,99.60421971365668,77.63892796623755,Deal_Hunter,prop_03951,STORM_DFW_20260115
45,A,100.0,0.0918,4978 Main St,Dallas,75231.0,32.641871931147264,-96.93490242808372,2.5,46,430718,3252,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,117.37589432330368,87.85062581187987,Proof_Seeker,prop_03978,STORM_DFW_20260115
46,A,100.0,0.0918,4984 Main St,Dallas,75248.0,32.87189159366397,-96.86035700901377,2.5,47,448795,2336,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,83.62382721003803,63.29349493112084,Deal_Hunter,prop_03984,STORM_DFW_20260115
47,A,100.0,0.11340000000000001,1065 Main St,Dallas,75214.0,32.789508824947475,-96.81438997372067,2.2,27,456967,2342,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,76.96389156506879,54.0998393067263,Proof_Seeker,prop_00065,STORM_DFW_20260128
48,A,100.0,0.08910000000000001,1078 Main St,Dallas,75224.0,32.73423971856328,-96.90895279323487,2.5,38,376304,2325,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,100.82005797855324,82.37544110058678,Family_Protector,prop_00078,STORM_DFW_20260115
49,A,100.0,0.08910000000000001,1876 Main St,Dallas,75223.0,32.841491668654214,-96.76274412670429,2.5,73,317068,2129,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,98.01535141798291,81.75774496859452,Family_Protector,prop_00876,STORM_DFW_20260115
50,A,100.0,0.1218,1878 Main St,Dallas,75235.0,32.63482879775104,-96.80195057446795,2.2,27,424130,2164,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,116.4189139183324,78.95711530667731,Deal_Hunter,prop_00878,STORM_DFW_20260128
51,A,100.0,0.11340000000000001,1890 Main St,Dallas,75238.0,32.843380079556695,-96.93606168475232,2.2,59,404135,2748,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,101.44386696465376,79.06729034121604,Status_Conscious,prop_00890,STORM_DFW_20260128
52,A,100.0,0.09585,1900 Main St,Dallas,75226.0,32.68906587654381,-96.81227644575954,2.5,59,568816,1700,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,85.05813662568349,67.22078779647079,Family_Protector,prop_00900,STORM_DFW_20260115
53,A,100.0,0.08910000000000001,1903 Main St,Dallas,75224.0,32.801612468290905,-96.84727199234769,2.5,56,332092,1317,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,94.81020059283652,97.98569730348576,Family_Protector,prop_00903,STORM_DFW_20260115
54,A,100.0,0.09585,1912 Main St,Dallas,75229.0,32.81394467235474,-96.76676235519811,2.5,28,562031,3379,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,82.17438264910156,64.05229781253588,Family_Protector,prop_00912,STORM_DFW_20260115
55,A,100.0,0.09570000000000001,1927 Main St,Dallas,75217.0,32.78919026439826,-96.87207674623119,2.5,54,338803,2406,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,85.52417487220112,85.60177766321873,Family_Protector,prop_00927,STORM_DFW_20260115
56,A,100.0,0.11745,1740 Main St,Dallas,75217.0,32.76550393570088,-96.84444528742482,2.2,48,562251,1879,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,109.95625817738392,76.5464494857156,Status_Conscious,prop_00740,STORM_DFW_20260128
57,A,100.0,0.0781,4873 Main St,Dallas,75210.0,32.87489064492117,-96.74123711747406,2.5,32,566597,2600,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,81.82078216774683,65.10002377216632,Status_Conscious,prop_03873,STORM_DFW_20260115
58,A,100.0,0.08330000000000001,4879 Main St,Dallas,75226.0,32.69611419091305,-96.80118273742919,2.5,33,428321,4097,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,85.25467133498033,61.17359855970709,Status_Conscious,prop_03879,STORM_DFW_20260115
59,A,100.0,0.0918,4882 Main St,Dallas,75237.0,32.914135402675825,-96.88285963680117,2.5,52,453590,3209,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,102.652383013304,76.61408296478866,Status_Conscious,prop_03882,STORM_DFW_20260115
60,A,100.0,0.11340000000000001,4884 Main St,Dallas,75235.0,32.8925545316388,-96.74207912744296,2.2,38,406749,2923,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,77.15507307155124,54.30513564369834,Deal_Hunter,prop_03884,STORM_DFW_20260128
61,A,100.0,0.11745,4890 Main St,Dallas,75231.0,32.85241936469114,-96.68819745111628,2.2,38,307102,3952,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,74.20536010776787,59.58461824632048,Deal_Hunter,prop_03890,STORM_DFW_20260128
62,A,100.0,0.09860000000000001,4891 Main St,Dallas,75218.0,32.78608820550528,-96.81400390376818,2.5,57,427477,3052,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,107.65492329576584,101.13542586648408,Deal_Hunter,prop_03891,STORM_DFW_20260115
63,A,100.0,0.08330000000000001,4897 Main St,Dallas,75229.0,32.876578914672265,-96.8896844393874,2.5,60,473919,2015,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,118.71390630577936,73.94654881988377,Family_Protector,prop_03897,STORM_DFW_20260115
64,A,100.0,0.09585,4903 Main St,Dallas,75207.0,32.70205078026452,-96.93277530915798,2.5,46,524434,3259,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,110.0469707433934,83.14629738111049,Status_Conscious,prop_03903,STORM_DFW_20260115
65,A,100.0,0.0781,4909 Main St,Dallas,75212.0,32.72426335888286,-96.7158764638794,2.5,27,556006,3030,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,76.29570821964849,61.22325686889602,Deal_Hunter,prop_03909,STORM_DFW_20260115
66,A,100.0,0.0781,1081 Main St,Dallas,75216.0,32.813689438048264,-96.72669029705233,2.5,44,501660,3609,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,80.60452695586204,60.3799322851738,Deal_Hunter,prop_00081,STORM_DFW_20260115
67,A,100.0,0.09135,1087 Main St,Dallas,75253.0,32.81796724140656,-96.7739055162747,2.5,47,234199,3568,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,99.03060387173149,72.00049150152611,Deal_Hunter,prop_00087,STORM_DFW_20260115
68,A,100.0,0.09570000000000001,4789 Main St,Dallas,75216.0,32.92087046811822,-96.69541346114057,2.5,59,385261,3644,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,109.37659094277302,96.38636767439132,Deal_Hunter,prop_03789,STORM_DFW_20260115
69,A,100.0,0.0781,4795 Main St,Dallas,75238.0,32.824315291618106,-96.865052113889,2.5,55,539019,2190,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,85.36183504540823,62.32305949159627,Status_Conscious,prop_03795,STORM_DFW_20260115
70,A,100.0,0.0918,4798 Main St,Dallas,75224.0,32.678457163083905,-96.67446873563831,2.5,40,404480,2166,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,82.83852986815074,59.42180805960462,Proof_Seeker,prop_03798,STORM_DFW_20260115
71,A,100.0,0.0781,4810 Main St,Dallas,75228.0,32.83430337678399,-96.69517758871721,2.5,29,566905,2000,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,101.76087953254344,80.08456487971593,Status_Conscious,prop_03810,STORM_DFW_20260115
72,A,100.0,0.09585,4822 Main St,Dallas,75207.0,32.868414357700466,-96.70659438251893,2.5,34,565541,1979,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,118.7935363710417,85.09881999567209,Status_Conscious,prop_03822,STORM_DFW_20260115
73,A,100.0,0.0918,4831 Main St,Dallas,75223.0,32.869221721668104,-96.7543371088992,2.5,70,475274,2277,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,117.35501180274647,72.7873234507093,Family_Protector,prop_03831,STORM_DFW_20260115
74,A,100.0,0.09585,4834 Main St,Dallas,75231.0,32.764437206986,-96.70868473247214,2.5,55,511828,3767,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,109.01020948376306,77.3622524146048,Family_Protector,prop_03834,STORM_DFW_20260115
75,A,100.0,0.08330000000000001,4837 Main St,Dallas,75227.0,32.66229312972247,-96.69046717340076,2.5,44,475553,2492,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,116.79463778488736,83.39174642504518,Deal_Hunter,prop_03837,STORM_DFW_20260115
76,A,100.0,0.0918,4846 Main St,Dallas,75228.0,32.918045272210485,-96.73474315430659,2.5,51,468042,2008,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,74.22720956678062,66.5160504489247,Proof_Seeker,prop_03846,STORM_DFW_20260115
77,A,100.0,0.08330000000000001,4855 Main St,Dallas,75229.0,32.64974091449432,-96.82770950428016,2.5,37,435379,3368,home_pride,45,0,IMMEDIATE_OUTREACH,,🏠 HOME PRIDE: 1 recent improvement permits in area,79.03968021532906,55.522023696972894,Status_Conscious,prop_03855,STORM_DFW_20260115
78,A,100.0,0.0918,1099 Main St,Dallas,75206.0,32.65906742809799,-96.76829605275154,2.5,73,451829,1690,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,81.84326099528657,67.09038088598184,Deal_Hunter,prop_00099,STORM_DFW_20260115
79,A,100.0,0.0918,1102 Main St,Dallas,75204.0,32.721006794322896,-96.72045991476644,2.5,47,468002,3114,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,84.4037526223849,58.579397989309626,Status_Conscious,prop_00102,STORM_DFW_20260115
80,A,100.0,0.0918,4858 Main St,Dallas,75248.0,32.74766232683997,-96.80280559150627,2.5,54,469251,2056,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,99.62989558188188,80.66072378441658,Proof_Seeker,prop_03858,STORM_DFW_20260115
81,A,100.0,0.0781,1936 Main St,Dallas,75202.0,32.63221720296424,-96.76603608137015,2.5,22,564759,3577,none,20,0,IMMEDIATE_OUTREACH,,No recent permit activity nearby,82.20992105408386,69.22822585548144,Status_Conscious,prop_00936,STORM_DFW_20260115
82,A,100.0,0.08910000000000001,1939 Main St,Dallas,75249.0,32.79965494265427,-96.66722998738821,2.5,48,325169,2208,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,87.92916317976506,61.87523939672435,Status_Conscious,prop_00939,STORM_DFW_20260115
83,A,100.0,0.09735,1954 Main St,Dallas,75210.0,32.75233115746762,-96.74408048932699,2.5,35,360295,2858,joneses,95,3,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 3 neighbors got new roofs in last 6 months!,76.41630988397608,64.47882248180547,Status_Conscious,prop_00954,STORM_DFW_20260115
84,A,100.0,0.08910000000000001,1957 Main St,Dallas,75253.0,32.640789790032514,-96.72006467360332,2.5,44,381695,2358,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,74.15526609747032,56.77153717499453,Family_Protector,prop_00957,STORM_DFW_20260115
85,A,100.0,0.08910000000000001,1963 Main St,Dallas,75209.0,32.74348868421259,-96.80643290162266,2.5,52,392756,3032,joneses,70,1,IMMEDIATE_OUTREACH,,⚡ MODERATE PRESSURE: 1 neighbor replaced roof in last 6 months,100.81495573891053,77.12528513895893,Status_Conscious,prop_00963,STORM_DFW_20260115
86,A,100.0,0.09135,1964 Main St,Dallas,75209.0,32.71330812103121,-96.90261249976717,1.8,31,549488,3714,joneses,90,2,IMMEDIATE_OUTREACH,, HIGH SOCIAL PRESSURE: 2 neighbors got new roofs in last 6 months!,73.34322577391714,64.7981563317381,Deal_Hunter,prop_00964,STORM_DFW_20260122
