rank,priority_tier,lead_score,conversion_probability,address,city,zip_code,hail_size,roof_age,property_value,estimated_claim_value,recommended_action,property_id,sii_score,risk_score
41,A,98.0,0.071,3167 Main St,Dallas,75235.0,2.8,42,519075,8750.0,IMMEDIATE_OUTREACH,prop_02167,110.32385302812774,84.64276280278074
42,A,98.0,0.071,2611 Main St,Dallas,75207.0,3.0,48,500237,8750.0,IMMEDIATE_OUTREACH,prop_01611,96.03365706747184,97.80630497079416
43,A,98.0,0.071,3230 Main St,Dallas,75216.0,2.9,51,571402,8750.0,IMMEDIATE_OUTREACH,prop_02230,107.35895730713575,94.2044642053946
44,A,98.0,0.071,3257 Main St,Dallas,75223.0,2.9,35,560742,8750.0,IMMEDIATE_OUTREACH,prop_02257,100.16599881033385,92.58210362899186
45,A,98.0,0.071,2517 Main St,Dallas,75206.0,2.8,25,503745,8750.0,IMMEDIATE_OUTREACH,prop_01517,102.79143093968231,88.02550469537661
46,A,98.0,0.071,2519 Main St,Dallas,75249.0,2.7,47,525141,8750.0,IMMEDIATE_OUTREACH,prop_01519,96.70686835091796,79.37699837882293
47,A,98.0,0.071,3283 Main St,Dallas,75248.0,2.8,37,542479,8750.0,IMMEDIATE_OUTREACH,prop_02283,117.97720915440468,86.9131259586673
48,A,98.0,0.071,2484 Main St,Dallas,75207.0,2.8,41,514045,8750.0,IMMEDIATE_OUTREACH,prop_01484,101.98722714153402,85.31602402069312
49,A,98.0,0.071,3325 Main St,Dallas,75216.0,2.5,24,517789,8750.0,IMMEDIATE_OUTREACH,prop_02325,76.57081427128085,69.47342179360805
50,A,98.0,0.071,3334 Main St,Dallas,75208.0,2.7,54,551713,8750.0,IMMEDIATE_OUTREACH,prop_02334,113.92656236893566,80.146944293839
51,A,98.0,0.071,3337 Main St,Dallas,75238.0,2.5,26,537820,8750.0,IMMEDIATE_OUTREACH,prop_02337,77.1022866331427,69.85057641351483
52,A,98.0,0.071,3348 Main St,Dallas,75204.0,2.8,41,542702,8750.0,IMMEDIATE_OUTREACH,prop_02348,117.66888175372269,86.21458174680211
53,A,98.0,0.071,3363 Main St,Dallas,75235.0,2.7,61,523287,8750.0,IMMEDIATE_OUTREACH,prop_02363,96.23221419225077,82.3894056483666
54,A,98.0,0.071,3371 Main St,Dallas,75209.0,2.6,51,507101,8750.0,IMMEDIATE_OUTREACH,prop_02371,119.01803664738785,75.20669638924198
55,A,98.0,0.071,3374 Main St,Dallas,75238.0,2.8,24,569948,8750.0,IMMEDIATE_OUTREACH,prop_02374,104.63343538571424,88.05117956852976
56,A,98.0,0.071,3382 Main St,Dallas,75207.0,2.8,57,555347,8750.0,IMMEDIATE_OUTREACH,prop_02382,103.06745406521344,85.36453807947655
57,A,98.0,0.071,3390 Main St,Dallas,75237.0,2.8,45,514722,8750.0,IMMEDIATE_OUTREACH,prop_02390,110.37391536401393,85.39231446735059
58,A,98.0,0.071,3403 Main St,Dallas,75230.0,2.9,43,539032,8750.0,IMMEDIATE_OUTREACH,prop_02403,116.90776100568682,92.86677435720247
59,A,98.0,0.071,3410 Main St,Dallas,75202.0,2.8,65,523350,8750.0,IMMEDIATE_OUTREACH,prop_02410,114.63490658434031,84.49742432990803
60,A,98.0,0.071,2425 Main St,Dallas,75206.0,2.8,58,538102,8750.0,IMMEDIATE_OUTREACH,prop_01425,95.95413789647304,85.04891704049747
61,A,98.0,0.071,2397 Main St,Dallas,75209.0,2.8,49,563327,8750.0,IMMEDIATE_OUTREACH,prop_01397,111.71694131522324,86.32362830830638
62,A,98.0,0.071,3444 Main St,Dallas,75201.0,2.5,73,511132,8750.0,IMMEDIATE_OUTREACH,prop_02444,84.60266118984158,69.3689019322497
63,A,98.0,0.071,3456 Main St,Dallas,75216.0,2.7,49,505988,8750.0,IMMEDIATE_OUTREACH,prop_02456,107.2126510886938,81.27403266545572
64,A,98.0,0.071,2352 Main St,Dallas,75210.0,2.8,59,527736,8750.0,IMMEDIATE_OUTREACH,prop_01352,106.30238683134355,85.26276544410827
65,A,98.0,0.071,2353 Main St,Dallas,75216.0,2.7,36,519743,8750.0,IMMEDIATE_OUTREACH,prop_01353,109.54151850049556,77.44119740028073
66,A,98.0,0.071,2362 Main St,Dallas,75237.0,2.8,66,508303,8750.0,IMMEDIATE_OUTREACH,prop_01362,115.35087019687084,86.86108877325957
67,A,98.0,0.071,5083 Main St,Dallas,75206.0,2.9,51,511023,8750.0,IMMEDIATE_OUTREACH,prop_04083,101.56059330937924,90.45560225105302
68,A,98.0,0.071,5091 Main St,Dallas,75224.0,2.7,43,531024,8750.0,IMMEDIATE_OUTREACH,prop_04091,99.37458620644271,81.96578747731829
69,A,98.0,0.071,5095 Main St,Dallas,75206.0,2.8,46,534953,8750.0,IMMEDIATE_OUTREACH,prop_04095,102.908306444382,85.47802404008426
70,A,98.0,0.071,3525 Main St,Dallas,75238.0,2.9,58,502641,8750.0,IMMEDIATE_OUTREACH,prop_02525,106.4379284565997,91.61534730945276
71,A,98.0,0.071,2317 Main St,Dallas,75254.0,2.8,28,506071,8750.0,IMMEDIATE_OUTREACH,prop_01317,112.03554368005145,89.51998731551954
72,A,98.0,0.071,2322 Main St,Dallas,75202.0,2.8,44,518375,8750.0,IMMEDIATE_OUTREACH,prop_01322,117.95185147997748,88.33150004887445
73,A,98.0,0.071,2301 Main St,Dallas,75216.0,2.5,33,507928,8750.0,IMMEDIATE_OUTREACH,prop_01301,86.96855395939635,68.88918459256757
74,A,98.0,0.071,2310 Main St,Dallas,75235.0,2.6,42,551973,8750.0,IMMEDIATE_OUTREACH,prop_01310,109.58139763244236,74.26249784875196
75,A,98.0,0.071,3553 Main St,Dallas,75254.0,2.7,68,548849,8750.0,IMMEDIATE_OUTREACH,prop_02553,97.4095847036363,81.72019345652346
76,A,98.0,0.071,3569 Main St,Dallas,75224.0,2.7,25,577805,8750.0,IMMEDIATE_OUTREACH,prop_02569,111.83523213126551,76.8471631837047
77,A,98.0,0.071,3619 Main St,Dallas,75214.0,2.8,44,548731,8750.0,IMMEDIATE_OUTREACH,prop_02619,107.88572979291897,83.35668339645923
78,A,98.0,0.071,2265 Main St,Dallas,75217.0,2.8,69,504082,8750.0,IMMEDIATE_OUTREACH,prop_01265,111.44275553570634,85.45447470047773
79,A,98.0,0.071,3650 Main St,Dallas,75202.0,2.5,23,514022,8750.0,IMMEDIATE_OUTREACH,prop_02650,75.96710443927167,68.05923287932544
80,A,98.0,0.071,3681 Main St,Dallas,75227.0,2.6,50,516196,8750.0,IMMEDIATE_OUTREACH,prop_02681,110.60726129770644,72.82856680643543
81,A,98.0,0.071,2226 Main St,Dallas,75212.0,2.6,53,502263,8750.0,IMMEDIATE_OUTREACH,prop_01226,111.09927919269607,73.79275550839208
82,A,98.0,0.071,3713 Main St,Dallas,75243.0,2.7,57,525164,8750.0,IMMEDIATE_OUTREACH,prop_02713,107.57431964733614,79.62286780974546
83,A,98.0,0.071,3720 Main St,Dallas,75210.0,2.5,24,586876,8750.0,IMMEDIATE_OUTREACH,prop_02720,75.99980096205444,68.09511378025181
84,A,98.0,0.071,1124 Main St,Dallas,75249.0,2.7,36,502230,8750.0,IMMEDIATE_OUTREACH,prop_00124,112.78965786142656,79.97235995491874
85,A,98.0,0.071,1127 Main St,Dallas,75224.0,2.7,57,507500,8750.0,IMMEDIATE_OUTREACH,prop_00127,96.37893557901812,80.73996160209362
86,A,98.0,0.071,5050 Main St,Dallas,75226.0,2.9,25,584593,8750.0,IMMEDIATE_OUTREACH,prop_04050,114.33707792555762,92.8356274051606
87,A,98.0,0.071,2210 Main St,Dallas,75202.0,2.9,60,548788,8750.0,IMMEDIATE_OUTREACH,prop_01210,109.60532771073582,92.9225484691588
88,A,98.0,0.071,2194 Main St,Dallas,75229.0,3.0,70,502072,8750.0,IMMEDIATE_OUTREACH,prop_01194,105.3263517730027,96.76216049634448
89,A,98.0,0.071,2196 Main St,Dallas,75235.0,3.0,49,500230,8750.0,IMMEDIATE_OUTREACH,prop_01196,119.40226169531633,99.1658772189948
90,A,98.0,0.071,3739 Main St,Dallas,75254.0,2.8,57,550576,8750.0,IMMEDIATE_OUTREACH,prop_02739,102.1189912901182,86.5175764679483
91,A,98.0,0.071,3741 Main St,Dallas,75204.0,2.6,63,518268,8750.0,IMMEDIATE_OUTREACH,prop_02741,81.11579876405898,71.36520313280319
92,A,98.0,0.071,3745 Main St,Dallas,75226.0,2.7,30,540465,8750.0,IMMEDIATE_OUTREACH,prop_02745,99.99760846695828,79.36874321501531
93,A,98.0,0.071,2181 Main St,Dallas,75241.0,2.8,31,511482,8750.0,IMMEDIATE_OUTREACH,prop_01181,116.08175682363924,84.17139347838794
94,A,98.0,0.071,3781 Main St,Dallas,75226.0,2.8,46,517649,8750.0,IMMEDIATE_OUTREACH,prop_02781,95.24064009175588,87.45743259969936
95,A,98.0,0.071,2141 Main St,Dallas,75211.0,2.7,59,535758,8750.0,IMMEDIATE_OUTREACH,prop_01141,107.61258456249236,79.85845538926453
96,A,98.0,0.071,2142 Main St,Dallas,75206.0,2.8,60,535103,8750.0,IMMEDIATE_OUTREACH,prop_01142,111.2372139487384,84.12618930091617
97,A,98.0,0.071,2148 Main St,Dallas,75226.0,2.7,44,552493,8750.0,IMMEDIATE_OUTREACH,prop_01148,107.8674078110688,82.67746280633423
98,A,98.0,0.071,3788 Main St,Dallas,75206.0,2.9,68,556045,8750.0,IMMEDIATE_OUTREACH,prop_02788,96.7963698466337,93.16307285282296
99,A,98.0,0.071,3793 Main St,Dallas,75224.0,2.6,45,545714,8750.0,IMMEDIATE_OUTREACH,prop_02793,99.1241700685068,73.77309268319253
100,A,98.0,0.071,1139 Main St,Dallas,75211.0,2.7,47,525110,8750.0,IMMEDIATE_OUTREACH,prop_00139,106.44734952273905,77.92786299295223
101,A,98.0,0.071,1146 Main St,Dallas,75216.0,2.8,57,527563,8750.0,IMMEDIATE_OUTREACH,prop_00146,113.79118981986012,84.08096663705892
102,A,98.0,0.071,5021 Main St,Dallas,75201.0,2.6,65,550054,8750.0,IMMEDIATE_OUTREACH,prop_04021,80.2893168502307,70.57185059853494
103,A,98.0,0.071,5022 Main St,Dallas,75214.0,2.8,48,539303,8750.0,IMMEDIATE_OUTREACH,prop_04022,101.33540888312892,84.42739686804211
104,A,98.0,0.071,2114 Main St,Dallas,75238.0,2.8,48,539203,8750.0,IMMEDIATE_OUTREACH,prop_01114,99.03583427110291,87.19033376959226
105,A,98.0,0.071,3840 Main St,Dallas,75226.0,2.8,34,514291,8750.0,IMMEDIATE_OUTREACH,prop_02840,100.8450457359924,83.43901732855296
106,A,98.0,0.071,3842 Main St,Dallas,75243.0,2.8,42,528592,8750.0,IMMEDIATE_OUTREACH,prop_02842,104.39815794181892,88.04460533979046
107,A,98.0,0.071,2092 Main St,Dallas,75220.0,2.9,42,505499,8750.0,IMMEDIATE_OUTREACH,prop_01092,118.41365304909024,91.10564935394586
108,A,98.0,0.071,2078 Main St,Dallas,75228.0,2.5,73,545924,8750.0,IMMEDIATE_OUTREACH,prop_01078,78.10734099883759,66.67407949827802
109,A,98.0,0.071,2084 Main St,Dallas,75229.0,2.8,37,506628,8750.0,IMMEDIATE_OUTREACH,prop_01084,112.27409443505584,87.77142200349971
110,A,98.0,0.071,2088 Main St,Dallas,75228.0,2.6,51,507668,8750.0,IMMEDIATE_OUTREACH,prop_01088,101.85465729518243,75.07240307152286
111,A,98.0,0.071,2064 Main St,Dallas,75243.0,2.8,42,528059,8750.0,IMMEDIATE_OUTREACH,prop_01064,97.91656441201648,85.21482703894902
112,A,98.0,0.071,2066 Main St,Dallas,75212.0,2.9,65,515308,8750.0,IMMEDIATE_OUTREACH,prop_01066,99.03982331347756,92.67648460083252
113,A,98.0,0.071,3899 Main St,Dallas,75226.0,2.9,47,520430,8750.0,IMMEDIATE_OUTREACH,prop_02899,104.92412899359688,93.9248632806337
114,A,98.0,0.071,3906 Main St,Dallas,75228.0,2.7,38,553281,8750.0,IMMEDIATE_OUTREACH,prop_02906,114.90845368275136,82.21326463431055
115,A,98.0,0.071,3907 Main St,Dallas,75202.0,2.8,56,565184,8750.0,IMMEDIATE_OUTREACH,prop_02907,114.60409147156604,84.5126359382055
116,A,98.0,0.071,4997 Main St,Dallas,75248.0,2.8,64,504417,8750.0,IMMEDIATE_OUTREACH,prop_03997,107.32094751994995,85.03390779408292
117,A,98.0,0.071,3927 Main St,Dallas,75231.0,3.1,60,522910,8750.0,IMMEDIATE_OUTREACH,prop_02927,109.86016441647432,104.16925254042977
118,A,98.0,0.071,3975 Main St,Dallas,75206.0,2.8,37,537069,8750.0,IMMEDIATE_OUTREACH,prop_02975,112.39540944386626,86.71997913297199
119,A,98.0,0.071,3991 Main St,Dallas,75209.0,2.7,67,500957,8750.0,IMMEDIATE_OUTREACH,prop_02991,118.02076081339207,77.56372183727848
120,A,98.0,0.071,1995 Main St,Dallas,75216.0,2.8,55,506272,8750.0,IMMEDIATE_OUTREACH,prop_00995,103.87661947702136,86.21574739510486
121,A,98.0,0.071,1999 Main St,Dallas,75209.0,2.7,33,536519,8750.0,IMMEDIATE_OUTREACH,prop_00999,116.09368015091916,81.79396641330317
122,A,98.0,0.071,4034 Main St,Dallas,75237.0,2.5,29,532329,8750.0,IMMEDIATE_OUTREACH,prop_03034,86.1360507822421,68.25452001735228
123,A,98.0,0.071,4039 Main St,Dallas,75216.0,2.9,34,512200,8750.0,IMMEDIATE_OUTREACH,prop_03039,112.4438355226245,91.13849868853592
124,A,98.0,0.071,4045 Main St,Dallas,75209.0,2.8,57,513689,8750.0,IMMEDIATE_OUTREACH,prop_03045,94.90901095702267,86.89850157565573
125,A,98.0,0.071,4074 Main St,Dallas,75214.0,2.8,37,519868,8750.0,IMMEDIATE_OUTREACH,prop_03074,103.25929996142762,88.34552415508526
126,A,98.0,0.071,1936 Main St,Dallas,75202.0,2.5,22,564759,8750.0,IMMEDIATE_OUTREACH,prop_00936,82.20992105408386,69.22822585548144
127,A,98.0,0.071,1925 Main St,Dallas,75235.0,2.8,45,508833,8750.0,IMMEDIATE_OUTREACH,prop_00925,115.47218544875516,87.13026714728608
128,A,98.0,0.071,1900 Main St,Dallas,75226.0,2.5,59,568816,8750.0,IMMEDIATE_OUTREACH,prop_00900,85.05813662568349,67.22078779647079
129,A,98.0,0.071,4149 Main St,Dallas,75220.0,2.9,27,554762,8750.0,IMMEDIATE_OUTREACH,prop_03149,104.23767162297692,92.10730877184274
130,A,98.0,0.071,1874 Main St,Dallas,75249.0,2.7,64,524814,8750.0,IMMEDIATE_OUTREACH,prop_00874,109.0850613774738,78.45539151851025
131,A,98.0,0.071,1857 Main St,Dallas,75210.0,3.0,64,535465,8750.0,IMMEDIATE_OUTREACH,prop_00857,100.378294742682,97.98196811647264
132,A,98.0,0.071,1863 Main St,Dallas,75254.0,3.1,53,531728,8750.0,IMMEDIATE_OUTREACH,prop_00863,100.33469908832004,104.30494889387106
133,A,98.0,0.071,4198 Main St,Dallas,75235.0,2.8,29,536099,8750.0,IMMEDIATE_OUTREACH,prop_03198,107.90663784113504,87.91083620943405
134,A,98.0,0.071,4201 Main St,Dallas,75237.0,2.8,44,522646,8750.0,IMMEDIATE_OUTREACH,prop_03201,109.34179706335796,86.06474788009615
135,A,98.0,0.071,1849 Main St,Dallas,75253.0,2.9,50,516235,8750.0,IMMEDIATE_OUTREACH,prop_00849,120.54409989478948,92.62973559203616
136,A,98.0,0.071,4204 Main St,Dallas,75228.0,2.5,58,567095,8750.0,IMMEDIATE_OUTREACH,prop_03204,74.98330237701049,68.13524780389224
137,A,98.0,0.071,4210 Main St,Dallas,75243.0,2.7,54,509668,8750.0,IMMEDIATE_OUTREACH,prop_03210,119.36866332923114,77.87164687281256
138,A,98.0,0.071,4211 Main St,Dallas,75229.0,2.8,34,543773,8750.0,IMMEDIATE_OUTREACH,prop_03211,106.57103954436616,85.25305655564657
139,A,98.0,0.071,4218 Main St,Dallas,75207.0,2.6,62,509120,8750.0,IMMEDIATE_OUTREACH,prop_03218,97.07571489505531,76.61728624313048
140,A,98.0,0.071,1828 Main St,Dallas,75237.0,2.7,60,545804,8750.0,IMMEDIATE_OUTREACH,prop_00828,99.76298552505374,80.2790251424308
141,A,98.0,0.071,1803 Main St,Dallas,75218.0,2.8,32,553255,8750.0,IMMEDIATE_OUTREACH,prop_00803,103.90258310929106,89.75068607222906
142,A,98.0,0.071,1806 Main St,Dallas,75211.0,2.7,45,552036,8750.0,IMMEDIATE_OUTREACH,prop_00806,104.96547140891748,79.28763804250585
143,A,98.0,0.071,4261 Main St,Dallas,75201.0,2.8,49,555058,8750.0,IMMEDIATE_OUTREACH,prop_03261,97.95631035880098,87.96703106624857
144,A,98.0,0.071,4268 Main St,Dallas,75208.0,2.8,48,527625,8750.0,IMMEDIATE_OUTREACH,prop_03268,101.2497766858934,87.78282151125701
145,A,98.0,0.071,4275 Main St,Dallas,75220.0,2.8,52,510271,8750.0,IMMEDIATE_OUTREACH,prop_03275,115.21558278804903,85.15484240120196
146,A,98.0,0.071,1760 Main St,Dallas,75216.0,3.0,46,521642,8750.0,IMMEDIATE_OUTREACH,prop_00760,108.05842905560796,101.08571294604111
147,A,98.0,0.071,4313 Main St,Dallas,75216.0,2.7,49,568261,8750.0,IMMEDIATE_OUTREACH,prop_03313,110.2478668224252,79.3969116858288
148,A,98.0,0.071,4314 Main St,Dallas,75231.0,2.8,25,542822,8750.0,IMMEDIATE_OUTREACH,prop_03314,120.54556445456431,87.27515688331786
149,A,98.0,0.071,1192 Main St,Dallas,75220.0,2.9,53,514923,8750.0,IMMEDIATE_OUTREACH,prop_00192,108.98176839900856,90.6321691381213
150,A,98.0,0.071,4956 Main St,Dallas,75254.0,2.8,71,527262,8750.0,IMMEDIATE_OUTREACH,prop_03956,108.00283848238026,85.67748341986012
151,A,98.0,0.071,4965 Main St,Dallas,75209.0,2.8,34,501501,8750.0,IMMEDIATE_OUTREACH,prop_03965,113.15512721454796,89.53524300083382
152,A,98.0,0.071,1740 Main St,Dallas,75217.0,2.6,48,562251,8750.0,IMMEDIATE_OUTREACH,prop_00740,109.95625817738392,76.5464494857156
153,A,98.0,0.071,1753 Main St,Dallas,75249.0,2.6,51,510644,8750.0,IMMEDIATE_OUTREACH,prop_00753,102.88906481910684,76.1913804450444
154,A,98.0,0.071,1754 Main St,Dallas,75211.0,2.7,40,534524,8750.0,IMMEDIATE_OUTREACH,prop_00754,99.06617513233589,80.46612641360096
155,A,98.0,0.071,4316 Main St,Dallas,75249.0,2.8,45,513211,8750.0,IMMEDIATE_OUTREACH,prop_03316,117.12834083382488,86.18475142972873
156,A,98.0,0.071,1728 Main St,Dallas,75218.0,2.7,26,518687,8750.0,IMMEDIATE_OUTREACH,prop_00728,107.05481592673094,78.48508474210422
157,A,98.0,0.071,4387 Main St,Dallas,75254.0,2.7,53,566409,8750.0,IMMEDIATE_OUTREACH,prop_03387,102.24070223962858,82.57926023779766
158,A,98.0,0.071,4391 Main St,Dallas,75214.0,2.8,34,519212,8750.0,IMMEDIATE_OUTREACH,prop_03391,119.24571335198353,87.6132239364937
159,A,98.0,0.071,1672 Main St,Dallas,75220.0,2.8,62,574124,8750.0,IMMEDIATE_OUTREACH,prop_00672,96.85349206176154,86.07711020978148
160,A,98.0,0.071,4404 Main St,Dallas,75207.0,2.6,55,544274,8750.0,IMMEDIATE_OUTREACH,prop_03404,107.4698110488882,74.12668289124294
161,A,98.0,0.071,4411 Main St,Dallas,75235.0,2.7,45,505142,8750.0,IMMEDIATE_OUTREACH,prop_03411,118.7426358677594,78.87541331530484
162,A,98.0,0.071,4418 Main St,Dallas,75227.0,2.8,50,507680,8750.0,IMMEDIATE_OUTREACH,prop_03418,119.10927502783018,85.40830678007637
163,A,98.0,0.071,4436 Main St,Dallas,75235.0,2.8,59,575691,8750.0,IMMEDIATE_OUTREACH,prop_03436,102.76612399896356,86.82634638958751
164,A,98.0,0.071,1202 Main St,Dallas,75229.0,2.6,46,548588,8750.0,IMMEDIATE_OUTREACH,prop_00202,112.54296981315298,74.44118758883806
165,A,98.0,0.071,1210 Main St,Dallas,75212.0,2.9,52,516400,8750.0,IMMEDIATE_OUTREACH,prop_00210,105.45457286282551,91.67117939222685
166,A,98.0,0.071,1625 Main St,Dallas,75216.0,2.8,60,536244,8750.0,IMMEDIATE_OUTREACH,prop_00625,107.99507785390834,86.62424787258482
167,A,98.0,0.071,4447 Main St,Dallas,75254.0,2.9,38,528957,8750.0,IMMEDIATE_OUTREACH,prop_03447,108.32705869446008,90.58284536959285
168,A,98.0,0.071,1597 Main St,Dallas,75237.0,2.8,35,510787,8750.0,IMMEDIATE_OUTREACH,prop_00597,115.26835165002406,84.06828032367206
169,A,98.0,0.071,4468 Main St,Dallas,75218.0,2.9,65,522690,8750.0,IMMEDIATE_OUTREACH,prop_03468,103.24763397356456,96.25057498635095
170,A,98.0,0.071,4478 Main St,Dallas,75241.0,2.7,29,501226,8750.0,IMMEDIATE_OUTREACH,prop_03478,119.32875993002392,80.19666239996322
171,A,98.0,0.071,4479 Main St,Dallas,75230.0,2.7,39,527344,8750.0,IMMEDIATE_OUTREACH,prop_03479,113.08823166524006,77.75512664319348
